,0,1,2,3,4,5,kmeans_cluster
100,-269.13913,-341.36432,41.591404,117.67773,-120.518036,-15.040935,0
101,-349.58484,-393.2978,35.11694,174.02988,-168.03227,16.447624,0
102,-251.62007,-334.3415,33.295654,112.75881,-106.46318,-37.50884,0
103,-497.87546,-494.72006,60.95507,288.3656,-235.87918,67.54893,0
104,-254.5862,-334.17865,107.49866,135.83803,-71.03173,-33.63848,0
105,-233.64268,-333.37726,52.37977,122.26473,-76.36929,-75.04326,0
106,-344.56567,-430.05338,182.00465,300.87915,-35.547092,-106.19111,0
107,-216.16228,-304.06754,91.02082,93.38472,-63.963184,-33.56628,0
108,-110.756226,-309.5658,-151.36333,-34.95834,-209.56035,-25.65398,0
109,-249.53569,-333.89865,119.87715,143.695,-57.476097,-44.29469,0
110,-275.5361,-335.04016,116.94014,124.27238,-94.005264,19.292297,0
111,-270.19922,-337.5389,97.02025,127.49684,-93.240005,-4.183194,0
112,-281.2577,-341.9118,35.451298,110.6456,-139.79912,9.428769,0
113,-261.5015,-331.99017,86.897285,122.3914,-93.23723,-10.12644,0
114,-374.877,-405.6141,63.694653,182.53264,-174.9345,48.97985,0
115,-182.0034,-264.2072,78.770256,29.13645,-75.032364,7.7430706,0
116,-297.35806,-367.53967,6.9713244,135.90927,-149.08617,-23.113686,0
117,-300.3952,-354.42877,90.16525,148.65567,-117.578186,9.954931,0
118,-3042.1904,-2048.6228,928.9527,2528.9321,-1188.4751,1126.2792,1
119,-403.46323,-453.43195,59.317047,265.45132,-158.52437,-37.490746,0
120,-274.66583,-340.68143,119.06238,141.79233,-83.41146,-7.790454,0
121,-228.2121,-300.17282,71.98341,75.38642,-94.88503,6.039986,0
122,-276.8019,-337.02744,88.98551,123.52797,-109.402565,10.814167,0
123,-286.57956,-348.4453,36.44534,125.10061,-136.43695,-3.5427065,0
124,-256.91174,-318.04468,42.516953,76.56629,-135.71458,28.144236,0
125,-249.3292,-325.62088,31.603329,98.805016,-114.44229,-18.595778,0
126,-189.8456,-277.57413,12.001851,32.683006,-105.52613,-15.662916,0
127,-355.17642,-391.92383,96.53594,191.58005,-142.12454,30.933878,0
128,-371.8536,-400.9455,91.05245,184.14864,-162.28854,54.865486,0
129,-377.67767,-409.80542,47.829056,189.79285,-182.7932,34.05841,0
130,-284.7649,-336.80078,70.1443,115.108,-130.14044,28.832201,0
131,-303.1494,-366.69385,100.49389,167.14587,-99.80174,-10.747024,0
132,-388.06473,-422.51324,89.41856,224.9829,-158.07933,19.127005,0
133,-288.18594,-351.47644,66.54697,133.64517,-118.76241,-0.27201656,0
134,-206.86595,-284.0699,52.72565,48.55007,-97.19773,3.7638035,0
135,-336.9873,-414.25424,3.6703408,206.0748,-143.69395,-74.452065,0
136,-231.55925,-303.06512,26.993265,49.567566,-135.20055,27.165438,0
